OriginState,TotalFlights,DelayedFlights,CancelledFlights,DelayRate
NJ,49054,31474,1935,64.16194398010356
IL,156513,98234,9863,62.76411544088989
MI,69663,43124,2201,61.90373656029743
MD,34575,20797,413,60.150397686189436
MN,47791,28599,1054,59.84181121968572
TX,249977,148445,6888,59.383463278621626
GA,142564,82528,3023,57.88838697006257
NV,69121,39599,925,57.289391067837556
NH,6361,3632,137,57.09794057538124
RI,7763,4412,160,56.833698312508055
CO,94137,53391,1960,56.71627521590873
FL,169536,95930,2002,56.583852397131
PA,53399,30193,1443,56.54225734564318
KY,43833,24592,1299,56.10384869846919
VI,1491,836,18,56.06975184439973
TN,53266,29466,1388,55.318589719520894
CT,10420,5739,299,55.076775431861805
OH,43045,23665,1678,54.97734928563132
WA,40503,22206,425,54.82556847640916
NY,112880,61641,4568,54.60754783841247
MO,45879,25050,1587,54.60014385666645
AZ,81478,44056,1022,54.07103758069663
WI,22733,12243,1418,53.855628381647826
MA,40104,21563,1409,53.767703969678834
VT,2298,1235,93,53.742384682332464
CA,282411,150953,5452,53.45152986250535
NM,13832,7343,148,53.087044534412954
NE,9920,5265,297,53.07459677419355
UT,49836,26438,586,53.050004013163175
PR,8989,4760,130,52.953609967738345
LA,20223,10610,424,52.46501508183751
IN,19981,10340,834,51.74916170361844
NC,70154,35972,1730,51.27576474612995
AL,15447,7897,426,51.12319544248074
AR,11316,5775,491,51.033934252386004
VA,71275,36236,2578,50.839705366538055
OK,17841,9047,439,50.709040973039635
WV,1025,515,44,50.24390243902439
ME,3163,1581,135,49.984192222573505
IA,9073,4531,617,49.93938057974209
SC,14303,7058,653,49.34629098790463
KS,4892,2340,238,47.83319705641864
MS,7699,3640,167,47.278867385374724
OR,24557,11421,295,46.508123956509344
WY,2677,1211,88,45.237205827418755
AK,12094,5279,296,43.64974367454936
ND,3263,1398,94,42.84400858106037
ID,9550,4090,254,42.82722513089005
SD,3185,1336,101,41.94662480376766
MT,6471,2692,78,41.60098902797095
HI,38246,14399,296,37.648381530094646
