Airline,AvgDepartureDelay,AvgArrivalDelay
AirTran Airways Corporation,9.697029448826248,10.921710925467867
Alaska Airlines Inc.,7.0851685990634525,5.349467312843792
Aloha Airlines Inc.,-1.4824561403508771,-2.888673890608875
American Airlines Inc.,15.715686071439668,16.07303975889889
American Eagle Airlines Inc.,13.573224520149244,13.84414626953701
Atlantic Southeast Airlines,14.498481497186472,12.046070802342506
Comair Inc.,11.252396444547726,11.378347760413641
Continental Air Lines Inc.,13.087049755422699,11.828697070013341
Delta Air Lines Inc.,7.76639164250914,7.54839276422929
Expressjet Airlines Inc.,12.146476571694139,11.862788309459024
Frontier Airlines Inc.,6.682126141459104,7.183811736981639
Hawaiian Airlines Inc.,-1.2663454167122987,-1.1391961450005477
JetBlue Airways,11.970368026995676,9.817523086425332
Mesa Airlines Inc.,13.394302867249582,13.20407044814787
Northwest Airlines Inc.,8.106498060589018,11.289960550147628
Pinnacle Airlines Inc.,11.930286413649943,10.124908508417226
Skywest Airlines Inc.,9.362174311877391,10.056010042218086
Southwest Airlines Co.,11.864636351630043,7.603865065577601
US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),6.675109847505816,2.7307659171189798
United Air Lines Inc.,16.04111802408217,14.346067204805706
