OriginState,TotalFlights,DelayedFlights,CancelledFlights,TotalDelays
CA,282411,150953,5452,150953
TX,249977,148445,6888,148445
IL,156513,98234,9863,98234
FL,169536,95930,2002,95930
GA,142564,82528,3023,82528
NY,112880,61641,4568,61641
CO,94137,53391,1960,53391
AZ,81478,44056,1022,44056
MI,69663,43124,2201,43124
NV,69121,39599,925,39599
VA,71275,36236,2578,36236
NC,70154,35972,1730,35972
NJ,49054,31474,1935,31474
PA,53399,30193,1443,30193
TN,53266,29466,1388,29466
MN,47791,28599,1054,28599
UT,49836,26438,586,26438
MO,45879,25050,1587,25050
KY,43833,24592,1299,24592
OH,43045,23665,1678,23665
WA,40503,22206,425,22206
MA,40104,21563,1409,21563
MD,34575,20797,413,20797
HI,38246,14399,296,14399
WI,22733,12243,1418,12243
OR,24557,11421,295,11421
LA,20223,10610,424,10610
IN,19981,10340,834,10340
OK,17841,9047,439,9047
AL,15447,7897,426,7897
NM,13832,7343,148,7343
SC,14303,7058,653,7058
AR,11316,5775,491,5775
CT,10420,5739,299,5739
AK,12094,5279,296,5279
NE,9920,5265,297,5265
PR,8989,4760,130,4760
IA,9073,4531,617,4531
RI,7763,4412,160,4412
ID,9550,4090,254,4090
MS,7699,3640,167,3640
NH,6361,3632,137,3632
MT,6471,2692,78,2692
KS,4892,2340,238,2340
ME,3163,1581,135,1581
ND,3263,1398,94,1398
SD,3185,1336,101,1336
VT,2298,1235,93,1235
WY,2677,1211,88,1211
VI,1491,836,18,836
WV,1025,515,44,515
